Latitude,Longitude,Zone,Land-Use
45.5145708,9.1570355,zone9,grass
45.5143792,9.157074,zone9,grass
45.5141692,9.1570651,zone9,grass
45.5139758,9.1570514,zone9,grass
45.5138901,9.1569678,zone9,grass
45.5138385,9.1568487,zone9,grass
45.5136749,9.1558381,zone9,grass
45.5138923,9.1557415,zone9,grass
45.5140007,9.1556934,zone9,grass
45.5141738,9.1566472,zone9,grass
45.5145409,9.1565067,zone9,grass
45.5145587,9.156593,zone9,grass
45.514589,9.1567489,zone9,grass
45.5146312,9.1567287,zone9,grass
45.5146508,9.1568246,zone9,grass
45.5149107,9.1567182,zone9,grass
45.5149311,9.1566225,zone9,grass
45.5164696,9.1559868,zone9,grass
45.5166776,9.1558214,zone9,grass
45.5166594,9.1559096,zone9,grass
45.516715,9.1560693,zone9,grass
45.5167779,9.1560721,zone9,grass
45.5170055,9.1559836,zone9,grass
45.5173032,9.1557981,zone9,grass
45.5175979,9.1555732,zone9,grass
45.5178388,9.1553232,zone9,grass
45.5180919,9.1549871,zone9,grass
45.5180623,9.1549033,zone9,grass
45.5179021,9.1551353,zone9,grass
45.5177582,9.1552945,zone9,grass
45.5175541,9.1554616,zone9,grass
45.5170138,9.1557694,zone9,grass
45.5170231,9.1558103,zone9,grass
45.5168652,9.1559235,zone9,grass
45.5167899,9.1557277,zone9,grass
45.5166776,9.1558214,zone9,grass
45.4960861,9.192302,zone9,grass
45.495983,9.1926887,zone9,grass
45.4960508,9.1927255,zone9,grass
45.4961083,9.1927567,zone9,grass
45.4962114,9.19237,zone9,grass
45.4960861,9.192302,zone9,grass
45.4970671,9.1788181,zone9,grass
45.4970184,9.1788379,zone9,grass
45.4970031,9.178887,zone9,grass
45.4970165,9.179085,zone9,grass
45.4970351,9.1791184,zone9,grass
45.4970619,9.1791202,zone9,grass
45.4970865,9.1790917,zone9,grass
45.497097,9.1790226,zone9,grass
45.4971082,9.1789466,zone9,grass
45.4971064,9.1788622,zone9,grass
45.4970671,9.1788181,zone9,grass
45.5099177,9.2083891,zone9,brownfield
45.5094907,9.2098879,zone9,brownfield
45.509394,9.2098349,zone9,brownfield
45.5092763,9.2097642,zone9,brownfield
45.5090611,9.2096394,zone9,brownfield
45.5089915,9.2095735,zone9,brownfield
45.5087685,9.20915,zone9,brownfield
45.509131,9.208833,zone9,brownfield
45.509247,9.2087311,zone9,brownfield
45.5094528,9.2085574,zone9,brownfield
45.5096197,9.208418,zone9,brownfield
45.5097382,9.2083095,zone9,brownfield
45.5097771,9.2082772,zone9,brownfield
45.5098133,9.2082651,zone9,brownfield
45.5098748,9.2082617,zone9,brownfield
45.5099373,9.2082678,zone9,brownfield
45.5099177,9.2083891,zone9,brownfield
45.485894,9.1930177,zone9,construction
45.4859125,9.1930133,zone9,construction
45.4859273,9.1931263,zone9,construction
45.4862327,9.193045,zone9,construction
45.4863344,9.1930197,zone9,construction
45.4863254,9.1929356,zone9,construction
45.4866607,9.1928624,zone9,construction
45.4867657,9.1928395,zone9,construction
45.4866018,9.1916735,zone9,construction
45.4863075,9.1917265,zone9,construction
45.4858936,9.1927082,zone9,construction
45.485894,9.1930177,zone9,construction
45.5113948,9.2015415,zone9,grass
45.5110308,9.2028408,zone9,grass
45.5112407,9.202944,zone9,grass
45.5116084,9.2016593,zone9,grass
45.5113948,9.2015415,zone9,grass
45.5115985,9.2007813,zone9,grass
45.5118051,9.2009085,zone9,grass
45.5116402,9.2015418,zone9,grass
45.511426,9.2014172,zone9,grass
45.5115985,9.2007813,zone9,grass
45.5149322,9.1934846,zone9,grass
45.5149504,9.1935131,zone9,grass
45.5150358,9.1936268,zone9,grass
45.5151154,9.1936829,zone9,grass
45.5151915,9.1937046,zone9,grass
45.5152789,9.1936952,zone9,grass
45.5153794,9.1936557,zone9,grass
45.5153397,9.1934724,zone9,grass
45.515333,9.1934415,zone9,grass
45.5149322,9.1934846,zone9,grass
45.5236532,9.1517374,zone9,farmland
45.5235349,9.1508761,zone9,farmland
45.5234088,9.1509154,zone9,farmland
45.5233781,9.1507174,zone9,farmland
45.52336,9.1506057,zone9,farmland
45.5232617,9.1499725,zone9,farmland
45.5240104,9.1496434,zone9,farmland
45.5241765,9.1509244,zone9,farmland
45.524638,9.1507904,zone9,farmland
45.5247187,9.1513362,zone9,farmland
45.525148,9.1512081,zone9,farmland
45.5256881,9.1551155,zone9,farmland
45.5247155,9.1553775,zone9,farmland
45.5231706,9.1557936,zone9,farmland
45.5230817,9.1550777,zone9,farmland
45.5233478,9.1549982,zone9,farmland
45.5233951,9.1551435,zone9,farmland
45.5236859,9.1550916,zone9,farmland
45.5237186,9.1552525,zone9,farmland
45.5243911,9.1550501,zone9,farmland
45.5241993,9.1529844,zone9,farmland
45.5244364,9.1529377,zone9,farmland
45.5242494,9.1515657,zone9,farmland
45.5236532,9.1517374,zone9,farmland
45.5264494,9.1443224,zone9,farmland
45.5246902,9.1446401,zone9,farmland
45.5243878,9.1440797,zone9,farmland
45.5242947,9.143922,zone9,farmland
45.5240941,9.1438929,zone9,farmland
45.5236404,9.1438431,zone9,farmland
45.5228901,9.1439718,zone9,farmland
45.5228698,9.1437476,zone9,farmland
45.5228232,9.1437103,zone9,farmland
45.52096,9.1440165,zone9,farmland
45.5213662,9.1436411,zone9,farmland
45.5228339,9.1422357,zone9,farmland
45.5230686,9.1420294,zone9,farmland
45.523146,9.1425273,zone9,farmland
45.5232391,9.1431084,zone9,farmland
45.5232916,9.1433644,zone9,farmland
45.5233493,9.1435424,zone9,farmland
45.5234118,9.1436046,zone9,farmland
45.5234877,9.143645,zone9,farmland
45.5235652,9.1436683,zone9,farmland
45.5236739,9.1436556,zone9,farmland
45.5251137,9.1434324,zone9,farmland
45.5252134,9.1434069,zone9,farmland
45.5253762,9.1433541,zone9,farmland
45.5249836,9.1411386,zone9,farmland
45.5249436,9.1408377,zone9,farmland
45.5249509,9.1406717,zone9,farmland
45.524959,9.1406413,zone9,farmland
45.5249799,9.1405627,zone9,farmland
45.5250744,9.140433,zone9,farmland
45.5254707,9.141258,zone9,farmland
45.5262079,9.1428968,zone9,farmland
45.526269,9.1430846,zone9,farmland
45.5264766,9.1442312,zone9,farmland
45.5264494,9.1443224,zone9,farmland
45.5244884,9.14472,zone9,farmland
45.5244384,9.1450054,zone9,farmland
45.5246883,9.1465425,zone9,farmland
45.523975,9.1467241,zone9,farmland
45.523716,9.1450119,zone9,farmland
45.5228799,9.1451611,zone9,farmland
45.522789,9.1443309,zone9,farmland
45.5242021,9.1441299,zone9,farmland
45.5243794,9.1444217,zone9,farmland
45.5244884,9.14472,zone9,farmland
45.5227967,9.1548091,zone9,retail
45.5227129,9.1548633,zone9,retail
45.5219966,9.1550889,zone9,retail
45.5217314,9.1536103,zone9,retail
45.5226017,9.1533777,zone9,retail
45.5227967,9.1548091,zone9,retail
45.5301097,9.156592,zone9,farmland
45.53015,9.1569713,zone9,farmland
45.5302835,9.1582114,zone9,farmland
45.530357,9.1586457,zone9,farmland
45.5303835,9.1589313,zone9,farmland
45.5301921,9.1589877,zone9,farmland
