Latitude,Longitude,Zone,GHI (kWh/m2)
45.4350039,9.244265,Zone 4,1420.2
45.4312279,9.2599594,Zone 4,1421.5
45.4314572,9.2596311,Zone 4,1421.5
45.4316147,9.2606332,Zone 4,1421.6
45.4548329,9.2136403,Zone 4,1415.5
45.4426895,9.2641272,Zone 4,1420.4
45.4431735,9.2645823,Zone 4,1420.4
45.4401253,9.2632907,Zone 4,1420.7
45.468952,9.2351856,Zone 4,1413.9
45.4676465,9.2265891,Zone 4,1412.8
45.4677086,9.22732,Zone 4,1412.8
45.4630384,9.2404667,Zone 4,1415.3
45.4607587,9.2248973,Zone 4,1414.3
45.4571641,9.2104766,Zone 4,1414.6
45.4582827,9.2104609,Zone 4,1414.1
45.460745,9.2112079,Zone 4,1413.4
45.4432965,9.2633827,Zone 4,1420.4
45.4418471,9.2208362,Zone 4,1418.4
45.4413021,9.2210061,Zone 4,1418.4
45.4401432,9.223454,Zone 4,1418.5
45.4596402,9.2073222,Zone 4,1413.7
45.4431721,9.2238796,Zone 4,1418
45.4392849,9.2260477,Zone 4,1419.1
45.438442,9.2277915,Zone 4,1419.2
45.4370773,9.2307362,Zone 4,1419.7
45.4355759,9.234246,Zone 4,1419.8
45.4346141,9.2362562,Zone 4,1420.3
45.4345174,9.2364756,Zone 4,1420.3
45.4424887,9.2196507,Zone 4,1418.3
45.4419256,9.220648,Zone 4,1418.4
45.459459,9.2077458,Zone 4,1413.9
45.4426884,9.2193012,Zone 4,1417.8
45.4315499,9.2438375,Zone 4,1421
45.4423175,9.2198454,Zone 4,1418.3
45.4421022,9.2202832,Zone 4,1418.4
45.4414666,9.2216244,Zone 4,1418.4
45.4414534,9.2216695,Zone 4,1418.4
45.4402366,9.2232954,Zone 4,1418.5
45.4404357,9.2228076,Zone 4,1418.5
45.4335599,9.2381151,Zone 4,1420.4
45.4405319,9.2242678,Zone 4,1418.5
45.4666894,9.2085783,Zone 4,1412
45.4350587,9.2402161,Zone 4,1420.1
45.4349957,9.2403383,Zone 4,1420.4
45.435762,9.241481,Zone 4,1420.1
45.4357639,9.2414261,Zone 4,1420.1
45.4356717,9.2412718,Zone 4,1420.1
45.4356642,9.2413295,Zone 4,1420.1
45.4358331,9.2415735,Zone 4,1420.1
45.4358587,9.241575,Zone 4,1420.1
45.4356233,9.2401036,Zone 4,1420.1
45.4326735,9.2398728,Zone 4,1420.4
45.4346697,9.2409398,Zone 4,1420.4
45.4356449,9.2412799,Zone 4,1420.1
45.4350275,9.2402784,Zone 4,1420.1
45.4328794,9.2398959,Zone 4,1420.4
45.4615841,9.2111592,Zone 4,1413.4
45.4656234,9.213597,Zone 4,1412.3
45.4364085,9.2445827,Zone 4,1420.2
45.436383,9.2445402,Zone 4,1420.2
45.4362896,9.2440877,Zone 4,1420.2
45.4363564,9.2444963,Zone 4,1420.2
45.4372965,9.2455012,Zone 4,1420.3
45.4372513,9.2455669,Zone 4,1420.3
45.4366284,9.2451136,Zone 4,1420.3
45.4364701,9.2446343,Zone 4,1420.2
45.4374104,9.2442526,Zone 4,1420.2
45.4363947,9.2445599,Zone 4,1420.2
45.4363423,9.2444768,Zone 4,1420.2
45.4367196,9.2452414,Zone 4,1420.3
45.4364223,9.2446053,Zone 4,1420.2
45.4373944,9.2442835,Zone 4,1420.2
45.4364345,9.2446281,Zone 4,1420.2
45.4366016,9.2451592,Zone 4,1420.3
45.4362726,9.2441239,Zone 4,1420.2
45.4363702,9.244518,Zone 4,1420.2
45.437496,9.2441225,Zone 4,1420.2
45.4367008,9.2440608,Zone 4,1420.2
45.4371497,9.2451364,Zone 4,1420.3
45.435388,9.2416214,Zone 4,1420.1
45.4367309,9.2440649,Zone 4,1420.2
45.4354031,9.2419137,Zone 4,1420.1
45.435341,9.2416857,Zone 4,1420.1
45.4365333,9.2434935,Zone 4,1420.2
45.4371505,9.2450898,Zone 4,1420.3
45.4365041,9.243507,Zone 4,1420.2
45.4356017,9.2413478,Zone 4,1420.1
45.4353325,9.24173,Zone 4,1420.1
45.4354078,9.2418762,Zone 4,1420.1
45.4363959,9.2424073,Zone 4,1420.1
45.4368552,9.2440394,Zone 4,1420.2
45.4363244,9.2425253,Zone 4,1420.2
45.4363508,9.2424837,Zone 4,1420.1
45.4354671,9.2420854,Zone 4,1420.1
45.4366321,9.2434574,Zone 4,1420.2
45.4369229,9.2453952,Zone 4,1420.3
45.4366687,9.2434477,Zone 4,1420.2
45.4368846,9.2440534,Zone 4,1420.2
45.4363479,9.2425615,Zone 4,1420.2
45.436793,9.2432669,Zone 4,1420.2
45.4373364,9.244202,Zone 4,1420.2
45.4367723,9.2432991,Zone 4,1420.2
45.4334661,9.2483909,Zone 4,1420.9
45.4447603,9.2234764,Zone 4,1418
45.4385154,9.2427024,Zone 4,1419.8
45.4360454,9.2457376,Zone 4,1420.3
45.4615866,9.2422605,Zone 4,1415.9
45.4531793,9.2275083,Zone 4,1416.4
45.4416971,9.2628328,Zone 4,1420.7
45.4449366,9.2220161,Zone 4,1417.9
45.4630558,9.2256525,Zone 4,1413.8
45.4674607,9.2110915,Zone 4,1412.1
45.4599556,9.2165434,Zone 4,1414.3
45.4445721,9.2286987,Zone 4,1418.3
45.4474744,9.2139837,Zone 4,1417.1
45.4401315,9.2281617,Zone 4,1418.7
45.4307568,9.2440429,Zone 4,1421
45.4316807,9.2468536,Zone 4,1421
45.4446951,9.2629756,Zone 4,1420.4
45.4458249,9.2193929,Zone 4,1417.3
45.4372202,9.2238229,Zone 4,1419.4
45.4604654,9.2159556,Zone 4,1413.7
45.4571707,9.2201009,Zone 4,1415.3
45.4531252,9.2206448,Zone 4,1415.9
45.4395539,9.2633767,Zone 4,1421
45.4455719,9.2170083,Zone 4,1417.2
45.4502606,9.2272706,Zone 4,1416.9
45.4499607,9.2287026,Zone 4,1417.5
45.4504262,9.2258568,Zone 4,1416.9
45.4469119,9.21318,Zone 4,1417.1
45.4541301,9.2180659,Zone 4,1415.8
45.4429155,9.2637476,Zone 4,1420.4
45.4568822,9.2225753,Zone 4,1415.5
45.4430905,9.2219641,Zone 4,1417.9
45.4425003,9.2267786,Zone 4,1418.2
45.4565331,9.2414055,Zone 4,1416.9
45.4341947,9.2205958,Zone 4,1419.7
45.4527042,9.220152,Zone 4,1415.9
45.4438563,9.218568,Zone 4,1417.8
45.4473648,9.2502885,Zone 4,1419.4
45.4646341,9.2585537,Zone 4,1416.9
45.4655883,9.2617569,Zone 4,1416.8
45.4647213,9.2648832,Zone 4,1417.3
45.4443161,9.2655505,Zone 4,1420.4
45.448618,9.2534101,Zone 4,1419.2
45.4470226,9.2547589,Zone 4,1419.5
45.4459103,9.2511945,Zone 4,1419.4
45.4560096,9.2545448,Zone 4,1417.9
45.4274708,9.2512632,Zone 4,1421.9
45.4624222,9.2119838,Zone 4,1413.4
45.4623207,9.2166637,Zone 4,1413.7
45.4607632,9.2157723,Zone 4,1413.7
45.4580441,9.2128889,Zone 4,1414.1
45.4560886,9.2206643,Zone 4,1415.3
45.4548293,9.2207669,Zone 4,1415.9
45.458323,9.2413188,Zone 4,1416.5
45.4528857,9.2393491,Zone 4,1417.2
45.4552688,9.2399082,Zone 4,1416.7
45.4532718,9.2289429,Zone 4,1416.4
45.4602935,9.2451744,Zone 4,1416.4
45.4445841,9.2455404,Zone 4,1419.4
45.4430042,9.2297976,Zone 4,1418.3
45.4677966,9.2333749,Zone 4,1413.6
45.4674735,9.2300115,Zone 4,1413.9
45.4496479,9.2285544,Zone 4,1417.5
45.4509247,9.2511776,Zone 4,1418.7
45.4344527,9.2238967,Zone 4,1419.8
45.4619895,9.2294233,Zone 4,1414.8
45.4635625,9.2323587,Zone 4,1414.5
45.4510326,9.2107534,Zone 4,1415.9
45.4504492,9.2217491,Zone 4,1416.4
45.4574912,9.2160971,Zone 4,1415
45.4521028,9.2037944,Zone 4,1415.5
45.4445037,9.2237199,Zone 4,1418
45.4440861,9.2231281,Zone 4,1418
